sample_id,group,target,FL__ex340_em490,FL__ex340_em550,FL__ex340_em610,FL__ex340_em670,FL__ex340_em730,FL__ex340_em790,FL__ex380_em490,FL__ex380_em550,FL__ex380_em610,FL__ex380_em670,FL__ex380_em730,FL__ex380_em790,FL__ex420_em490,FL__ex420_em550,FL__ex420_em610,FL__ex420_em670,FL__ex420_em730,FL__ex420_em790,FL__ex460_em490,FL__ex460_em550,FL__ex460_em610,FL__ex460_em670,FL__ex460_em730,FL__ex460_em790,FL__ex500_em550,FL__ex500_em610,FL__ex500_em670,FL__ex500_em730,FL__ex500_em790,FL__ex540_em550,FL__ex540_em610,FL__ex540_em670,FL__ex540_em730,FL__ex540_em790,FL__ex580_em610,FL__ex580_em670,FL__ex580_em730,FL__ex580_em790,FL__ex620_em670,FL__ex620_em730,FL__ex620_em790,UV__K232,UV__K264,UV__K268,UV__K272
AS0_A0,A,0,11.375585511428573,21.397465115238095,6.372411886571427,12.635021591400001,19.032547542666666,1.4979544282000001,4.676871776523809,10.94944154642857,4.479278246523809,175.05661927761903,63.89804407666667,3.0505055665,0.38328785626666667,1.0589979432904761,0.811589232552381,118.9000044272381,37.64753396,2.9229387046250004,0.35725763738,1.1911022578761905,0.7102042067714287,17.021209535714288,4.476139778190476,0.4066091719875,1.9547409783809522,1.185266829757143,79.1488858465238,24.553328605238097,1.8381884024375001,2.4378447056,3.1426788852857137,203.77340534333334,62.89396267904762,4.7272690535,3.5342969576666663,66.76189813666667,20.188554400619044,1.6230380571312502,253.4569111847619,78.46473185190477,5.912069156625,1.9911,0.1953,0.1887,0.1867
AS0_B2,B,0,11.84759435247619,16.85353996666667,5.232608125285715,12.570779229,16.196686608095234,1.26403706155625,6.176629679333334,10.986284415761904,4.414385307285714,221.84201766857146,70.31446584133332,3.4005081174,0.6327136116333333,1.425767836095238,1.1249436565571427,170.96314089476186,46.57565498333334,3.5575229675625,0.4853925377066667,1.4520360288571428,0.9266553039095238,24.126565842380955,5.33287999752381,0.47644845210000003,2.1761775585714287,1.3205623342476192,81.51407463819048,22.037977445714283,1.6768475510374998,2.4905894755999998,3.567776498380952,179.89975756190475,48.14343370666666,3.59919090575,4.6194533347333335,58.97564606666666,15.534853730047619,1.18096959585625,226.5473149604762,60.91535114047618,4.52195991575,1.6871,0.0877,0.0738,0.0666
AS0_C2,C,0,13.082926476666666,18.63670321952381,5.8803246475238105,7.1893658632,14.607997916904761,1.2352591007875,7.345473720714286,13.335117248857143,5.448105380571429,191.21141225761906,61.335571544000004,3.0915584087,1.0330198719190475,2.5758949120476187,1.4870060681428572,161.74172769814285,45.475311006666665,3.6919902713124997,0.7944132645866666,2.7778105395714285,1.3664154552380954,13.163504282666665,3.6427499170000006,0.3491830937625,3.0747029441428575,1.8608185904285712,79.17161580561904,21.477725664714285,1.6903205253375,2.6905161382,3.3902806440952378,159.94462611914284,45.79087284571429,3.7351748198125,3.5179643948666666,49.968449569952384,14.142172381952381,1.22355223460625,204.5369291785714,55.88396935285715,4.4994102120625,2.7837,0.1319,0.1223,0.1153
AS0_D2,D,0,12.094996180857143,22.370573452380956,6.927188759619047,11.868120098599999,25.120853197142857,2.1162751540625,4.386125428238095,10.055099488380952,4.3460941881428585,172.5683203652381,69.68558705666666,3.5316948412999998,0.4125863938,1.1395063201714286,0.7956342242952383,112.3562031062381,39.29484830523809,3.1651621461875,0.38224636614,1.4182377882380952,0.7569008753333334,11.549859069904763,3.931636804714285,0.35296250786875,2.142706609809524,1.4156668129523808,76.82204206233332,26.05083633714286,2.007438316875,2.9132052898,3.6991210665238095,204.9309187333333,70.4032964252381,5.5281563103749995,4.117929363333333,65.54455498714285,22.70796090142857,1.89096568528125,256.3900538828571,86.84981682142859,6.8856969629375,2.2658,0.169,0.1769,0.181
AS0_E2,E,0,13.979767662380953,21.89092372809524,6.553874152,10.5038003934,17.88424233085714,1.445757407675,6.447675477952381,12.80637832042857,5.137645085714286,207.85745561238096,69.742120362,3.4414672376000004,0.6307950814761905,1.5096569174285717,1.0631783944761903,163.46538007757144,47.45444016238096,3.7146887630625,0.5092695643533333,1.5463739009047621,0.8344884032142856,16.631926081142858,4.3714295173333335,0.40730347298125,2.129270950952381,1.295159884761905,83.06306354980953,23.725748106190476,1.77518782761875,2.2314801694,3.108463207857143,184.9851616438095,52.72851035714285,4.0699496270625,3.8105735777999996,56.058226176666665,16.102783225857145,1.3138088472937501,223.57127498761906,63.47171892333332,4.8165581821875,1.9281,0.1025,0.0961,0.0942
AS0_F0,F,0,4.943261089809523,13.360900697523808,4.088422763952382,11.1080607418,23.473435357619046,1.854310184625,1.5554804433380953,5.303264436238096,2.1633310034285715,104.97060948971429,59.83961715800001,2.9084607125,0.10013494605047618,0.3748746088619047,0.33853715658571426,60.3646606327619,30.073143413809525,2.4092117398750004,0.12806763972733334,0.6491275372857142,0.40704391116190475,12.666135334,4.941512891142857,0.43625163844375,1.292524547857143,0.7612340407904762,61.05468250714286,29.55040332238095,2.225588627,2.47599082,3.4449701763809526,227.44733238285713,108.82620384523807,8.018570124812499,4.9450333277333325,81.90032586952381,37.76719638285714,2.9611435608125,288.6652755671428,136.71434493000004,10.3529310821875,1.7627,0.1295,0.1174,0.1107
AS0_G1,G,0,12.270940826476188,16.513981591904763,4.959807339190476,12.177694894,14.899941716238091,1.1803780086125002,6.839331513190477,11.831298328857143,4.845429783857142,237.12219129285717,73.50991083866666,3.5029006242999996,0.7116841177238096,1.5881485882857145,1.2304948596809522,209.29742558476192,56.1360486352381,4.2334010600625,0.5621704767333333,1.633126394952381,1.040069145838095,30.28754234333333,6.532969781238095,0.5770861264312499,2.3600971017142856,1.3354688258095238,92.79881531561904,24.59099942095238,1.81788864726875,1.898768282,2.7782290549523805,186.38725889,49.68383907238095,3.7164595274999996,3.249423472133333,58.89347112857143,15.128662472904765,1.1964205168125,227.9165981838095,58.78357968952381,4.470953106750001,1.8119,0.1225,0.1092,0.102
AS0_H2,H,0,6.991821130333333,21.478857632380954,6.633599326428571,12.0121631628,17.961451438857143,1.4441085495500001,2.276765732666667,8.566480750095238,3.5843865644285713,113.68970753014288,48.82684402466667,2.3893865704,0.12231426642000001,0.5317081156285715,0.4849388656142858,63.75754376757143,23.915978567619046,1.93247263125,0.114927019546,0.6055415116476193,0.4170882694761905,10.547588075428571,3.0400419292380954,0.27137096691875,1.5530074267142855,0.9788830421809522,61.27228620809524,22.45868959904762,1.71605384714375,2.8388570308,4.175428810666666,215.5016191447619,78.22429856809524,5.854909866750001,6.108916282533333,75.3724842995238,26.185542879047624,2.0767027064374997,275.3940493309524,98.85076995238094,7.423852920375,2.1885,0.1412,0.1323,0.1267
AS0_I0,I,0,16.08430340095238,21.75177092761905,6.616329352,16.427285194,21.480929238761906,1.69328960400625,6.451852617047618,11.017334301761904,4.625366392619047,216.29926964142857,71.180234782,3.4033225297999996,0.6580419114333333,1.472352147095238,1.1870568650761903,177.89821661428573,50.706031254285726,3.9237485379375,0.5863032062666667,1.6686681566190475,1.1268612316333333,28.880427769047618,6.589947121523811,0.5968221816999999,2.288100299380952,1.4952375945238094,93.245827789,26.33882985809525,1.9572129175000001,2.7097057342000004,3.7310690198095235,190.85113144142855,53.9680898757143,4.0474572777499995,4.834737141933334,62.49879555523809,17.138181142380954,1.29334116723125,237.69715300047616,66.44676562714285,4.95449005075,2.0377,0.1295,0.122,0.1188
AS0_J2,J,0,13.959596452380952,22.171304793333334,7.079420725761904,13.088750361399999,26.294549624285715,2.1470421924375,5.819061733428572,11.187948954000003,4.846695559380952,217.12700339666668,77.18320338,3.8335284472000004,0.832956061457143,2.011739838714286,1.236712768,153.66680391,47.35162716809524,3.7567278594375004,0.6289595961666666,2.3448843672380955,1.2312864830476191,13.641294774809523,4.179346618238095,0.38309620414375,3.2600181443809526,2.2541815326190475,81.5478264285238,24.589223362857144,1.912747912125,3.8977827073999998,4.749376546761905,195.11952782380953,59.35150237285715,4.7052226811875,4.7036912284,60.27610551904762,18.707689739238095,1.5912878066562501,237.6324962419047,72.38536562333334,5.664019376375,1.9508,0.117,0.1224,0.1259
